"course_name","cor","sample","p.value"
"Adviesvaardigheden",0.533594999357228,35,0.00249462495702288
"Masterstage.A.O",0.491754533061043,74,5.42630540211012e-06
"MAPS",0.480615103354126,33,0.00670117234476763
"Pros..gedrag.in.werkrelat.",0.471718335206669,27,0.0133517144844068
"Personeelsselectie",0.460595731793373,24,0.0222674277141562
"Masterstage.Gedr....Gez.",0.442970919677496,27,0.0181002759619373
"Emotionele.Beïnvloeding",0.433083409832655,81,0.000144826601497082
"Recl.VL.Con",0.422626709778664,77,0.000143957661806981
"Conflict.en.Coöperatie",0.409373045217529,61,0.00210386579703193
"Schr..Onderz..An..Pres",0.406786671978892,47,0.0022266458941638
