"StudentID","thesis_grades"
1073,8.5
9407,7.5
13091,0
13520,0
19415,0
39077,8
52421,8
55805,13.5
57596,6
67133,7
89726,0
95675,7.5
105089,7.5
123041,8
123242,12
129923,7
132353,0
177449,7
183116,0
187139,8.5
202388,0
300845,0
304958,9
307235,8.5
318314,8.5
320699,0
331955,0
341081,7.5
341267,0
344627,0
350855,7
352250,7
352913,6
354542,7
356144,8
358460,0
359456,7
360719,8
389060,8.5
389174,8
405887,6
421457,6.5
429104,6
436820,7.5
453089,7
460367,7.5
474419,7.5
475082,7.5
475478,6.5
476789,0
486782,8
498032,0
501302,0
503057,8.5
504290,7.5
522266,0
525449,0
527795,0
546704,0
575375,7.5
633566,8.5
633680,6
633857,0
635402,7
635564,8
636038,0
636287,7.5
636353,6
636506,6.5
636773,0
638981,8
639203,7
639665,0
639932,6
640004,0
640247,8
640400,0
640505,8
640772,0
649325,0
650546,6.5
655778,8.5
677147,6.5
682508,6.5
692135,7.5
692183,0
692312,0
693974,7.5
699692,8.5
699935,0
700508,7
713618,8
736988,7
742964,6
743069,7.5
755741,6.5
755966,8
760277,7.5
768344,7.5
772214,8
774992,7
795599,0
802037,8
818270,7
844175,9
871286,6
884840,8.5
892769,7.5
901400,7
901748,6
901772,8
902258,7.5
902597,0
902792,8
902816,0
902945,7
903338,7.5
903653,0
904493,8
905003,6
905270,6
905642,8
906212,0
906350,6
908477,8.5
910745,9
913928,7.5
923831,6.5
935603,7.5
935717,7
935798,7
936197,7
963389,0
967808,0
967970,6
973469,6.5
974294,0
974756,7
985229,8
992642,6.5
992909,8
994118,9
994190,7
1000847,7.5
1000976,7
1001534,0
1004159,0
1007648,8
1010078,9
1010216,8
1023884,7.5
1025228,6
1025381,7
1026089,7
1029869,6.5
1030184,6
1030379,8.5
1030622,8
1030694,7
1042493,9
1042712,7.5
1050389,0
1052492,6
1063814,0
1066082,7
1068221,0
1070858,0
1076324,0
1076891,8.5
1076963,0
1077800,0
1092593,8
1095404,7.5
1105946,8
1108619,8
1108667,9
1109702,7.5
1113647,7
1119437,7
1119518,7.5
1119590,0
1119785,8.5
1122377,8
1124366,7
1132700,7.5
1136327,7
1137827,7.5
1193585,7
1201949,8
1204913,7.5
1210193,7
1212932,7.5
1216607,9
1216760,0
1218746,8.5
1219814,7
1221152,8.5
1221371,6.5
1223012,7
1226591,7
1232816,6.5
1233944,8.5
1234979,0
1235441,0
1235618,9.5
1235732,7.5
1235780,8
1235885,6.5
1236236,6.5
1236284,8
1236350,8
1236431,6
1236503,7
1236617,7.5
1236698,0
1236851,7
1236875,7.5
1237385,7.5
1237652,7
1237676,8
1238339,6
1238387,9
1238453,8
1238654,6.5
1238849,7.5
1238873,8
1239176,7.5
1239305,7.5
1239596,7.5
1239815,7.5
1239839,0
1240211,8
1240220,8
1240301,0
1240349,8.5
1240568,9
1241084,7
1241255,7.5
1241303,7
1245614,8.5
1248884,9
1250228,7
1261490,0
1261532,7
1264253,8
1264277,7.5
1264601,9
1267475,7.5
1269290,7.5
1270844,6.5
1270973,9
1271264,8.5
1271369,6.5
1273913,8.5
