"","StudentID","thesis_grades"
"1",1073,8.5
"2",9407,7.5
"3",13091,0
"4",13520,0
"5",19415,0
"6",39077,8
"7",52421,8
"8",55805,13.5
"9",57596,6
"10",67133,7
"11",89726,0
"12",95675,7.5
"13",105089,7.5
"14",123041,8
"15",123242,12
"16",129923,7
"17",132353,0
"18",177449,7
"19",183116,0
"20",187139,8.5
"21",202388,0
"22",300845,0
"23",304958,9
"24",307235,8.5
"25",318314,8.5
"26",320699,0
"27",331955,0
"28",341081,7.5
"29",341267,0
"30",344627,0
"31",350855,7
"32",352250,7
"33",352913,6
"34",354542,7
"35",356144,8
"36",358460,0
"37",359456,7
"38",360719,8
"39",389060,8.5
"40",389174,8
"41",405887,6
"42",421457,6.5
"43",429104,6
"44",436820,7.5
"45",453089,7
"46",460367,7.5
"47",474419,7.5
"48",475082,7.5
"49",475478,6.5
"50",476789,0
"51",486782,8
"52",498032,0
"53",501302,0
"54",503057,8.5
"55",504290,7.5
"56",522266,0
"57",525449,0
"58",527795,0
"59",546704,0
"60",575375,7.5
"61",633566,8.5
"62",633680,6
"63",633857,0
"64",635402,7
"65",635564,8
"66",636038,0
"67",636287,7.5
"68",636353,6
"69",636506,6.5
"70",636773,0
"71",638981,8
"72",639203,7
"73",639665,0
"74",639932,6
"75",640004,0
"76",640247,8
"77",640400,0
"78",640505,8
"79",640772,0
"80",649325,0
"81",650546,6.5
"82",655778,8.5
"83",677147,6.5
"84",682508,6.5
"85",692135,7.5
"86",692183,0
"87",692312,0
"88",693974,7.5
"89",699692,8.5
"90",699935,0
"91",700508,7
"92",713618,8
"93",736988,7
"94",742964,6
"95",743069,7.5
"96",755741,6.5
"97",755966,8
"98",760277,7.5
"99",768344,7.5
"100",772214,8
"101",774992,7
"102",795599,0
"103",802037,8
"104",818270,7
"105",844175,9
"106",871286,6
"107",884840,8.5
"108",892769,7.5
"109",901400,7
"110",901748,6
"111",901772,8
"112",902258,7.5
"113",902597,0
"114",902792,8
"115",902816,0
"116",902945,7
"117",903338,7.5
"118",903653,0
"119",904493,8
"120",905003,6
"121",905270,6
"122",905642,8
"123",906212,0
"124",906350,6
"125",908477,8.5
"126",910745,9
"127",913928,7.5
"128",923831,6.5
"129",935603,7.5
"130",935717,7
"131",935798,7
"132",936197,7
"133",963389,0
"134",967808,0
"135",967970,6
"136",973469,6.5
