StudentID,Pract. Onderzoek & Rapp.,Propedeusethese,Wetens. en Stat. Redeneren,Wetensch. & Stat. Redeneren
496928,,,,
697730,,7.0,,
1218746,,7.5,,
1395314,6.5,,6.5,
1704188,,8.0,,
1763693,6.5,,,6.0
1780853,8.0,,,6.0
16854020,7.5,,6.5,
17060189,,,,
17071184,,8.5,,
17082911,8.5,,,6.0
17348711,,,,
17385656,,8.5,,
17411921,,6.0,,
17413979,7.0,,,
17440094,,7.0,,
17442500,8.0,,7.0,
17461139,,8.0,,
17481434,,6.0,,
17610419,,7.5,,
17610791,,7.0,,
17611568,7.5,,,6.0
17619593,,9.0,,
17625344,,7.0,,
17637806,,7.0,,
17645204,,8.0,,
17648120,,7.5,,
17651141,6.0,6.0,6.0,
17660048,,,,6.5
17662478,,8.5,,
17676455,,7.5,,
17695088,,8.0,,
17725316,7.0,,,6.0
17726885,,7.0,,
17799230,6.5,7.0,,
17804201,,8.0,,
17867102,,6.0,,
17872715,,6.0,,
17874725,,7.0,,
17878061,8.0,,,
17882648,7.0,,,6.0
17886935,6.5,,6.5,
17898296,,7.0,,
17903606,,6.5,,
17910968,,6.5,,
17923130,,7.0,,
17926022,,8.5,,
17927858,,8.0,,
17928605,8.0,,7.5,
17980631,7.5,,,7.0
17982689,7.5,,7.5,
17982842,,6.0,,
18068531,7.5,,7.5,
18098735,,6.5,,
18101900,,8.0,,
18102551,,,,
18107642,,8.5,,
18113522,9.0,,9.0,
18114998,,7.5,,
18119336,,6.0,,
18126941,,7.0,,
18130349,8.5,,,7.5
18132068,,7.0,,
18135962,,6.0,,
18139127,6.0,,6.0,
18139499,,7.0,,
18139718,,7.0,,
18140228,7.5,,,7.0
18142310,,8.5,,
18146996,9.0,,8.5,
18150731,,8.5,,
18150755,,7.0,,
18150998,,6.5,,
18155798,9.0,,7.5,
18157880,,7.5,,
18162311,,,7.0,
18166982,,,,
18168038,,8.5,,
18168329,,,,
18168482,,7.0,,
18181403,6.0,,6.0,
18186458,,,,
18194222,8.5,,,7.0
18197339,8.5,,,8.0
18200990,8.5,,,7.5
18201335,,6.5,,
18205454,,7.0,,
18206717,8.0,,,7.5
18207860,,8.0,,
18208079,,7.0,,
18217397,,,,
18218741,,6.5,,
18219779,,,,
18221615,,6.0,,
18223868,,9.0,,
18226103,8.5,7.0,7.0,
18226208,,8.0,,
18226718,,7.0,,
18230264,,7.0,,
18231716,,,,
18233681,,6.0,6.5,
18234017,,7.0,,
18235958,8.0,,7.0,
18240743,,6.5,,
18241187,,8.0,,
18245414,,7.5,,
18245987,,7.5,,
18249473,,,,
18250694,,6.0,,
18264503,,6.0,,
18266291,,7.0,,
18311555,,7.5,,
18349979,,7.5,,
18351608,9.0,,,7.5
18360701,9.0,,,6.0
18361526,,8.0,,
18375269,,6.0,,
18380474,,7.0,,
18385148,,6.0,,
18431828,7.5,,7.0,
18443303,,8.0,,
18451133,6.5,,,6.0
18459395,,,,
18462221,10.0,,10.0,
18468788,,6.5,,
18476423,,,,
18485975,,8.0,,
18490172,,7.0,,
18494705,,8.0,,
18526805,,,,
18526814,,,,
18530498,,7.5,,
18537125,,7.5,,
18539228,7.0,,6.0,
18541607,,7.5,,
18542513,,6.5,,
18544232,7.5,,,
18549674,,7.0,,
18552896,,8.5,,
18558113,,,,
18585191,6.0,,,6.5
18623975,,7.5,,
18631433,,7.5,,
18643565,,7.0,,
18643832,,7.0,,
18644324,,6.0,,
27327008,,,,
27561080,7.0,,,
27940634,,8.5,,
29430764,,8.5,,
30000287,6.0,,,6.5
30000407,,8.0,,
30000410,,6.0,,
30000449,,8.5,,
30000521,,8.0,,
30000548,,6.5,,
30000656,,7.5,,
30000710,,7.5,,
30000827,,6.5,,
30000830,,7.5,,
30000917,,6.0,,
30000953,,6.0,,
30000962,,7.0,,
30001034,,6.5,,
30001037,,7.5,,
30001112,,8.5,,
30001115,,7.0,,
30001178,,7.0,,
30001277,,7.0,,
30001493,,7.0,,
30001496,,6.0,,
30001592,,7.5,,
30001787,,7.5,,
30001790,,7.5,,
30001913,,6.5,,
30001934,,7.5,,
30002126,7.0,,6.5,
30002165,,6.5,,
30002186,,7.0,,
30002300,8.0,,7.0,
30002306,,8.0,,
30002414,,,,
30002633,,6.0,,
30002723,,7.5,,
30002765,,8.0,,
30002792,,8.5,,
30002813,,7.0,,
30002837,,8.0,,
30002873,,,,
30002969,,7.0,,
30003020,,8.0,,
30003059,,6.5,,
30003062,,7.5,,
30003152,,8.0,,
30003257,,6.5,,
30003263,,7.0,,
30003296,,7.5,,
30003347,,7.0,,
30003473,,,,
30003539,9.0,,7.5,
30003674,,8.5,,
30003875,,6.5,,
30003968,,6.0,,
30003989,,6.0,,
30003995,,8.5,,
30004031,,7.0,,
30004034,,6.0,,
30004046,,7.5,,
30004049,,7.5,,
30004154,,7.0,,
30004346,,7.0,,
30004382,,8.0,,
30004403,,7.5,,
30004418,,9.0,,
30004433,,7.0,,
30004445,,6.0,,
30004463,,7.5,,
30004520,,7.5,,
30004523,,8.5,,
30004595,,8.5,,
30004598,,7.0,,
30004619,,8.0,,
30004622,,8.0,,
30004658,,7.5,,
30004787,7.5,,,
30004826,7.5,,,8.0
30004949,8.0,,,6.5
30004952,,,,
30005024,,8.5,,
30005063,,,,
30005078,,6.5,,
30005087,,7.5,,
30005096,,7.5,,
30005138,6.0,6.0,6.0,
30005165,,7.0,,
30005246,,8.5,,
30005264,,7.0,,
30005300,,8.0,,
30005312,,8.0,,
30005318,,,,
30005360,,7.5,,
30005372,,6.5,,
30005402,,7.0,,
30005411,,8.0,,
30005414,,8.0,,
30005426,,8.0,,
30005555,,7.5,,
30005633,,,,
30005681,,6.5,,
30005798,,8.5,,
30005819,,,,
30005855,,9.0,,
30005888,,6.5,,
30005909,,8.0,,
30005942,,7.5,,
30006014,,7.5,,
30006110,,6.0,,
30006116,,7.5,,
30006134,8.5,6.5,7.5,
30006164,,,,
30006296,,8.5,,
30006302,,6.0,,
30006326,,7.5,,
30006461,,9.0,,
30006476,,7.0,,
30006569,,7.0,,
30006698,,,,
30006710,,8.5,,
30006764,,7.5,,
30006794,,7.0,,
30006824,,,,
30006839,,6.5,,
30006857,6.5,,6.0,
30006863,,7.5,,
30006950,,8.5,,
30006995,,6.5,,
30006998,,8.0,,
30007064,,,,6.0
30007085,8.0,,7.5,
30007115,,8.5,,
30007127,,,,
30007175,,,,
30007190,,,,
30007286,7.5,8.0,,
30007289,,8.0,,
30007304,8.0,,8.5,
30007385,,,,
30007448,,8.5,,
30007718,,7.0,,
30007724,,,,
30007742,,6.0,,
30007808,,,,
30007874,,8.0,,
30008015,,7.5,,
30008054,7.0,,6.0,
30008060,,8.0,,
30008093,,,,
30008144,,6.0,,
30008168,,8.5,,
30008195,,8.5,,
30008210,,7.0,,
30008216,,7.5,,
30008246,,8.0,,
30008288,,7.0,,
30008339,7.5,,,7.5
30008351,,8.0,,
30008378,,7.5,,
30008561,,6.5,,
30008615,,,,
30008681,,7.0,,
30008717,,7.5,,
30008765,,7.0,,
30008894,6.5,,,6.0
30008978,,,,
30009026,,7.0,,
30009050,,,,
30009176,,7.5,,
30009188,,8.0,,
30009251,,6.5,,
30009326,,7.5,,
30009353,,7.5,,
30009362,,,,
30009398,,,,
30009401,,,,
30009449,7.0,,7.0,
30009530,,8.5,,
30009533,,8.0,,
30009662,,7.0,,
30009665,,7.5,,
30009680,,7.5,,
30009689,,7.0,,
30009698,,7.0,,
30009704,,7.5,,
30009725,,7.0,,
30009800,,7.0,,
30009836,,7.0,,
30009869,,,,
30009947,,6.5,,
30009953,,6.5,,
30009962,,,,
30009968,,6.5,,
30010007,,,,
30010100,,6.0,,
30010154,,,,
30010169,,7.0,,
30010265,,6.0,,
30010274,,6.5,,
30010280,,7.5,,
30010310,,6.5,,
30010313,,7.0,,
30010325,9.0,,9.0,
30010364,,7.5,,
30010382,,,,
30010418,,,,
30010424,,6.5,,
30010466,,6.5,,
30010481,,7.0,,
30010526,,8.5,,
30010562,,7.5,,
30010697,,8.0,,
30010721,,7.5,,
30010760,,6.0,,
30010781,,8.0,,
30010814,,7.5,,
30010835,,7.5,,
30010847,,6.0,,
30010874,,6.0,,
30010961,,,,
30011003,,,,
30011045,,,,
30011054,,7.5,,
30011114,,7.0,,
30011123,,6.5,,
30011138,,6.0,,
30011150,,7.0,,
30011168,,6.5,,
30011183,,7.5,,
30011252,,7.5,,
30011396,6.5,,,6.0
30011630,,7.0,,
30011693,,7.0,,
30011738,7.0,,6.5,
30011885,,6.5,,
30011930,,7.0,,
30011936,,7.5,,
30011969,,7.0,,
30012119,,,,
30012164,,,,
30012242,,7.0,,
30012245,,6.5,,
30012362,,8.5,,
30012530,,,,
30012716,,6.5,,
30012725,,8.5,,
30012755,,,,
30012782,,6.0,,
30012905,,6.5,,
30013475,,6.5,,
30013514,,8.5,,
30013526,,7.0,,
30013541,,7.0,,
30013649,,6.0,,
30013667,,,,
30013703,,7.5,,
30013733,,7.0,,
30013742,,7.5,,
30013754,,7.0,,
30013763,,7.0,,
30013823,6.0,7.0,6.0,
30013877,,7.5,,
30013907,,8.5,,
30014054,,7.5,,
30014066,,7.5,,
30014147,,,,
30014861,,8.5,,
30015182,,7.5,,
30015602,,,,
30015821,,7.5,,
30016799,,7.5,,
30017018,,8.0,,
30017309,,,,
30017624,,6.5,,
30017681,,7.0,,
30018122,,6.0,,
30018857,,8.0,,
30019586,,,,
30019829,,6.5,,
30020120,,8.0,,
30020225,,7.5,,
30020249,,7.5,,
30021353,,7.0,,
30021458,,,,
30022016,,9.0,,
30022193,,6.5,,
30023141,,7.0,,
30024599,6.0,,,6.0
30025223,,7.0,,
30025667,,6.5,,
30027248,,7.0,,
30027434,,7.0,,
30027758,,7.5,,
30027830,,6.5,,
30028340,,8.0,,
30028688,6.5,,6.0,
30029399,,6.0,,
30029732,,8.5,,
30029780,,7.5,,
30029957,,8.0,,
30030404,,,,
30030647,,7.5,,
30030728,,,,6.0
30030971,,6.5,,
30031706,,8.0,,
30031844,6.0,7.0,6.0,
30031973,8.5,,,8.5
30032459,,,,
30032612,,7.0,,
30033158,,8.0,,
30033182,,7.5,,
30033869,,7.5,,
30034160,,6.0,,
30034403,,7.5,,
30035285,,7.0,,
30035423,,7.0,,
30035552,,,,
30036590,,7.0,,
30036785,,8.0,,
30036923,,6.0,,
30037586,,6.0,,
30037787,,7.0,,
30038516,8.5,,6.0,
30038807,,8.0,,
30038888,6.5,,6.0,
30039878,,6.5,,
30040436,,7.5,,
30041165,,9.0,,
30041189,,,,
30042074,,7.5,,
30042155,,7.5,,
30043247,8.0,,,7.5
30043595,9.0,7.5,,8.5
30045806,,,,
30046202,,6.0,,
30046268,,7.0,,
30046469,,,,
30047441,,6.0,,
30047861,,,,
30048188,,7.0,,
30048503,,9.0,,
30049385,,7.5,,
30049652,,,,
30049724,,7.0,,
30049805,,8.0,,
30049814,,7.5,,
30050138,,7.0,,
30050291,,,,
30050315,,6.0,,
30051686,,6.5,,
30051734,,7.5,,
30052349,,,,
30052568,6.0,,,6.0
30053498,8.0,,7.0,
30053594,,6.5,,
30054140,,,,
30054269,7.0,8.0,,
30054512,,,,
30054626,,7.0,,
30054650,,,,
30054731,,8.0,,
30055466,,6.0,,
30055661,,6.0,,
30055823,,8.5,,
30055952,,7.5,,
30056024,,6.0,,
30056195,,,,
30056510,,7.0,,
30056639,,7.0,,
30056753,,8.0,,
30057032,,,,
30057581,,8.0,,
30057614,,7.5,,
30058034,7.0,7.0,6.0,
30058187,,8.5,,
30059336,,7.0,,
30060575,,,,
30060737,,8.5,,
30069467,6.0,,,6.0
30073199,,,,
30074114,6.5,7.0,6.5,
30074267,8.0,,6.0,
30075671,,,,
30075938,,7.5,,
30106214,,7.5,,
30143534,8.0,,6.5,
30148904,,6.5,,
30170435,,,,
30202049,6.5,,6.0,
30213992,6.0,,,6.0
30223700,,8.0,,
30226106,,,,
30226769,,,,
30232277,7.5,,,6.0
30241871,8.0,,8.5,
30248462,7.5,,,6.0
30253613,9.0,7.5,7.5,
30254495,,,,
30265817,,7.5,,
30277694,6.5,,,6.5
30291035,,,,
30294686,,7.5,,
30377351,,9.0,,
30383327,7.5,,,7.0
30390050,6.0,,,6.0
30401231,,7.0,,
30435170,7.5,,7.5,
30435437,7.5,,7.5,
30437402,7.0,,6.5,
30452309,8.5,,6.5,
30454958,7.5,,,7.0
30459737,7.0,,6.5,
30459956,,8.0,,
30462539,,,,9.0
30463316,8.5,,,
30464957,,7.0,,
30467720,6.0,,,7.0
30468839,,,,8.0
30484676,7.5,,,8.5
30486152,9.0,,,8.0
30489560,7.5,,7.0,
30490151,6.5,,7.0,
30491777,9.0,,,9.0
30497762,6.5,,,
30501845,7.5,,,6.0
30506120,6.0,,6.5,
30509432,8.5,,7.5,
30512474,8.0,,6.0,
30512951,6.5,,6.5,
30513974,6.5,,6.0,
30516881,,7.5,,
30517334,8.0,,7.0,
30519077,7.5,,7.0,
30522704,7.5,,,6.5
30523319,7.5,,7.5,
30523562,8.0,,6.0,
30525134,7.5,,6.5,
30526388,9.0,,,7.5
30527318,7.0,,7.5,
30528227,6.5,7.0,6.5,
30539765,6.0,,,6.0
30542912,7.0,,6.0,
30544460,9.0,,6.5,
30544679,6.0,,6.0,
30545213,7.0,,,6.5
30546470,6.0,,7.5,
30549830,7.0,,7.0,
30554048,8.0,,7.5,
30555002,6.0,,,7.5
30558755,8.0,,6.5,
30559661,9.0,,7.5,
30561896,8.0,,6.5,
30566762,7.5,7.5,7.0,
30566939,7.5,,6.0,
30568463,6.0,,6.0,
30569078,7.0,,6.0,
30572711,6.5,7.5,6.0,
30573572,8.0,,7.0,
30574502,8.0,,7.5,
30576650,6.0,,,6.0
30576917,10.0,,8.5,
30581474,7.5,,7.0,
30582302,9.0,,6.5,
30582836,8.5,,8.0,
30583208,7.0,,6.5,
30585485,7.5,,7.5,
30589007,6.0,,6.0,
30589250,8.5,,6.5,
30595460,6.0,,6.5,
30595970,7.5,,6.0,
30601637,7.5,,7.5,
30602057,8.0,,,8.5
30609017,7.5,,7.5,
30610028,8.0,,8.0,
30614237,7.0,,7.5,
30617258,,,,
30619049,8.0,,,8.5
30619874,8.5,,9.0,
30620294,6.0,,,
30622118,7.0,,6.0,
30622232,6.0,,,6.0
30625154,6.5,,6.0,
30626918,8.0,,,7.0
30627755,6.0,,6.5,
30631412,,,,
30636272,7.0,,,7.5
30637316,6.5,,7.5,
30638885,,,,6.0
30658355,,,,
30736964,7.0,,,6.5
30752105,7.0,,6.5,
30752906,7.0,,6.5,
30752930,6.5,,8.0,
30761240,7.5,,,7.0
30763913,,,6.0,
30780344,6.0,,,6.5
30789980,7.0,,,6.0
30791678,,,,
30792758,6.5,,,6.0
30794351,,6.5,,
30794732,,7.5,,
30806894,,,,
30820661,7.0,,6.0,
30823673,6.5,,7.0,
30827147,7.0,,7.0,
30834170,7.5,,,6.0
30838436,7.0,,6.0,
30840671,,6.0,,
30843635,7.0,,6.0,
30849959,6.0,,,6.0
30863027,6.0,,,6.0
30875609,6.0,,,7.0
30876932,8.5,,,7.5
30878525,7.0,,6.0,
30882350,8.0,,,7.5
30893474,,7.5,,
30895985,7.0,,7.5,
30904769,6.5,,8.0,
30905741,8.5,,8.0,
30906779,7.0,,7.0,
30906827,9.0,,8.5,
30910673,9.0,,9.0,
30913613,7.0,,,7.5
30919184,7.5,,7.0,
30920204,6.5,,6.5,
30920285,6.0,,6.5,
30921098,7.0,,6.0,
30921656,7.0,,,6.0
30930683,8.0,,8.0,
30941201,8.0,,,8.0
30943679,8.0,,8.0,
30945641,6.0,,6.5,
30948677,7.5,,6.5,
30949073,7.5,,7.0,
30949535,6.0,,,6.0
30950690,7.5,,7.5,
30954224,7.5,,8.5,
30954977,8.0,,9.0,
30957164,7.0,,7.0,
30957383,7.0,,6.0,
30958289,7.5,,6.5,
30959687,7.5,,6.5,
30960644,7.5,,7.5,
30960992,8.0,,7.5,
30964514,6.5,,6.0,
30967445,6.5,,7.0,
30969035,8.0,,8.0,
30970676,7.0,,7.0,
30970895,8.5,,8.5,
30971291,8.5,,8.0,
30973106,9.0,,,8.0
30973640,6.5,,,6.0
30973664,6.5,,,6.5
30974837,7.0,,6.5,
30975731,7.0,,,6.0
30976094,8.5,,,8.5
30976604,6.5,,6.0,
30976757,7.5,,6.0,
30977882,7.0,,,7.0
30978080,8.0,,,7.0
30979625,8.0,,6.0,
30984137,7.5,,6.5,
30985754,6.5,,,6.0
30985811,7.5,,7.0,
30986102,8.5,,7.0,
30987716,6.5,,,6.0
30988598,6.0,,,6.5
30991244,8.5,,,8.5
30992546,6.5,,,6.5
30992789,8.0,,8.0,
30993068,8.5,,7.0,
30993536,6.0,,,6.0
30994604,6.0,,6.0,
30995729,8.5,,,6.5
30996347,6.5,,7.0,
30997382,8.0,,8.5,
30998183,7.0,,6.5,
30998717,6.5,,,6.0
30998894,6.5,,,6.5
31000298,8.0,,7.0,
31001567,9.0,,8.0,
31003439,6.5,,6.5,
31003529,6.5,,6.5,
31003844,7.0,,,6.0
31004879,8.0,,8.0,
31005230,7.5,,6.5,
31006088,7.5,,6.5,
31006751,7.0,,8.0,
31006937,7.0,,7.5,
31007948,7.5,,6.5,
31009028,6.5,,6.5,
31009124,7.0,,6.0,
31009958,,,,
31010006,6.5,,,6.0
31010111,6.0,,6.5,
31010120,6.5,,6.5,
31010378,8.5,,6.0,
31010402,8.0,,8.0,
31010735,8.0,,6.5,
31011287,6.5,,6.5,
31011482,9.0,,8.0,
31012193,7.5,,7.5,
31014203,6.5,,6.0,
31014398,8.5,,7.0,
31014446,6.5,,,6.5
31014932,6.0,,6.0,
31015667,7.0,,7.0,
31016306,8.5,,7.5,
31017095,,,,6.0
31017248,9.0,,6.5,
31020485,9.0,,8.5,
